workerCounter,assignmentId,workerId,hitId,trial type,set,global index,reaction time,response1,response2,responseLoc1,responseLoc2,stimulus1,stimulus2,stimulus3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,203,2521,2,1,0,2,2,7,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,204,2437,2,5,2,1,4,5,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,205,3012,5,6,1,2,2,5,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,206,3875,5,1,1,2,2,5,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,207,2375,1,5,0,2,1,3,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,208,2883,6,2,0,2,6,7,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,209,2369,3,7,1,2,6,3,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,210,4739,2,6,1,0,6,2,3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,211,3592,6,5,2,0,5,4,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,212,3205,2,1,1,2,4,2,1
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,213,1918,1,5,1,2,4,1,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,214,1630,4,3,2,0,3,2,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,215,5350,3,7,1,2,6,3,7
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,216,2325,6,5,2,0,5,4,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,217,1966,3,7,0,1,3,7,2
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,218,1824,1,6,1,2,3,1,6
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,219,1512,3,4,0,2,3,2,4
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,220,1549,5,1,2,1,7,1,5
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,221,1965,6,5,1,0,5,6,3
13,3I7DHKZYGO6PDFMPKD6SLR1H9R75FL,AKIDVQHDUIN3L,3WPCIUYH1AESDDLQ40OYBN9QSLSDT1,2,999,222,2801,6,1,0,1,6,1,2
